nano,radioactivity
55306514,0.01
18884515,0.02
27536719,0.03
28098497,0.04
27058702,0.05
42409735,0.06
45249514,0.07
46542571,0.08
42867650,0.09
70258003,0.10
68130233,0.11
54820412,0.12
62246444,0.13
79891088,0.14
44543175,0.15
99450340,0.16
95913985,0.17
118044955,0.18
330308954,0.19
219222258,0.20
224889802,0.21
259538897,0.22
262710666,0.23
550811125,0.24
648239489,0.25
672375113,0.26
745465456,0.27
1039865969,0.28
1119455786,0.29
1503066886,0.30
1873297502,0.31
2124132741,0.32
2492092407,0.33
2993578321,0.34
4304222958,0.35
4989273484,0.36
5864173852,0.37
