nano,radioactivity
1390618011,0.01
212848082,0.02
30820044,0.03
35387557,0.04
23046372,0.05
35441858,0.06
53648568,0.07
168676734,0.08
126808731,0.09
142389612,0.10
138722140,0.11
104212491,0.12
167820165,0.13
94381348,0.14
243027794,0.15
344208033,0.16
234070077,0.17
216484118,0.18
275002933,0.19
471786629,0.20
395573465,0.21
290468876,0.22
713177121,0.23
688371773,0.24
670492505,0.25
830130378,0.26
982579000,0.27
1199469306,0.28
1667350716,0.29
2149370423,0.30
2222859121,0.31
3671038432,0.32
4165045936,0.33
5259235663,0.34
5207987976,0.35
5503209682,0.36
5684779909,0.37
